"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2023","193.97","191.63","194.48","191.26","85.21M","2.31%"
"06/29/2023","189.59","189.08","190.07","188.94","45.45M","0.18%"
"06/28/2023","189.25","187.93","189.90","187.60","50.90M","0.63%"
"06/27/2023","188.06","185.89","188.39","185.67","49.73M","1.51%"
"06/26/2023","185.27","186.83","188.05","185.23","47.50M","-0.76%"
"06/23/2023","186.68","185.55","187.56","185.01","53.12M","-0.17%"
"06/22/2023","187.00","183.74","187.04","183.67","50.84M","1.65%"
"06/21/2023","183.96","184.90","185.41","182.59","49.36M","-0.57%"
"06/20/2023","185.01","184.41","186.10","184.41","48.96M","0.05%"
"06/16/2023","184.92","186.73","186.99","184.27","101.26M","-0.59%"
"06/15/2023","186.01","183.96","186.52","183.78","65.28M","1.12%"
"06/14/2023","183.95","183.37","184.39","182.02","56.52M","0.35%"
"06/13/2023","183.31","182.80","184.15","182.44","54.65M","-0.26%"
"06/12/2023","183.79","181.27","183.89","180.97","53.57M","1.56%"
"06/09/2023","180.96","181.50","182.23","180.63","48.90M","0.22%"
"06/08/2023","180.57","177.90","180.84","177.46","50.21M","1.55%"
"06/07/2023","177.82","178.44","181.21","177.32","61.94M","-0.78%"
"06/06/2023","179.21","179.96","180.12","177.43","64.34M","-0.21%"
"06/05/2023","179.58","182.63","184.95","178.04","121.32M","-0.76%"
"06/02/2023","180.95","181.03","181.78","179.26","62.00M","0.48%"
"06/01/2023","180.09","177.70","180.12","176.93","65.30M","1.60%"
"05/31/2023","177.25","177.32","179.35","176.76","99.31M","-0.03%"
"05/30/2023","177.30","176.96","178.99","176.57","55.77M","1.07%"
"05/26/2023","175.43","173.32","175.77","173.11","54.83M","1.41%"
"05/25/2023","172.99","172.41","173.90","171.69","55.92M","0.67%"
"05/24/2023","171.84","171.09","172.42","170.52","43.49M","0.16%"
"05/23/2023","171.56","173.13","173.38","171.27","49.18M","-1.52%"
"05/22/2023","174.20","173.98","174.71","173.45","43.31M","-0.55%"
"05/19/2023","175.16","176.39","176.39","174.94","52.68M","0.06%"
"05/18/2023","175.05","173.00","175.24","172.58","65.09M","1.37%"
"05/17/2023","172.69","171.71","172.93","170.42","57.95M","0.36%"
"05/16/2023","172.07","171.99","173.14","171.80","42.11M","0.00%"
"05/15/2023","172.07","173.16","173.21","171.47","37.18M","-0.29%"
"05/12/2023","172.57","173.62","174.06","171.00","45.53M","-0.68%"
"05/11/2023","173.75","173.85","174.59","172.17","49.51M","0.11%"
"05/10/2023","173.55","173.02","174.03","171.90","53.72M","1.04%"
"05/09/2023","171.77","173.05","173.54","171.60","45.33M","-1.00%"
"05/08/2023","173.50","172.48","173.85","172.11","55.96M","-0.04%"
"05/05/2023","173.57","170.98","174.30","170.76","113.45M","4.69%"
"05/04/2023","165.79","164.89","167.04","164.31","70.38M","-0.99%"
"05/03/2023","167.45","169.50","170.92","167.16","59.44M","-0.65%"
"05/02/2023","168.54","170.09","170.35","167.54","48.43M","-0.62%"
"05/01/2023","169.59","169.28","170.45","168.64","49.39M","-0.05%"
"04/28/2023","169.68","168.49","169.85","167.88","55.28M","0.75%"
"04/27/2023","168.41","165.19","168.56","165.19","64.22M","2.84%"
"04/26/2023","163.76","163.05","165.28","162.80","44.11M","-0.01%"
"04/25/2023","163.77","165.19","166.30","163.73","48.17M","-0.94%"
"04/24/2023","165.33","165.00","165.60","163.89","38.99M","0.19%"
"04/21/2023","165.02","165.05","166.45","164.49","58.34M","-0.98%"
"04/20/2023","166.65","166.09","167.87","165.56","52.46M","-0.58%"
"04/19/2023","167.63","165.80","168.16","165.54","47.24M","0.70%"
"04/18/2023","166.47","166.10","167.41","165.65","48.41M","0.75%"
"04/17/2023","165.23","165.09","165.39","164.03","41.52M","0.01%"
"04/14/2023","165.21","164.59","166.32","163.82","49.39M","-0.21%"
"04/13/2023","165.56","161.63","165.80","161.42","67.16M","3.41%"
"04/12/2023","160.10","161.22","162.06","159.78","49.40M","-0.44%"
"04/11/2023","160.80","162.35","162.36","160.51","46.31M","-0.76%"
"04/10/2023","162.03","161.42","162.03","160.08","47.03M","-1.60%"
"04/06/2023","164.66","162.43","164.96","162.00","45.39M","0.55%"
"04/05/2023","163.76","164.74","165.05","161.80","51.30M","-1.13%"
"04/04/2023","165.63","166.60","166.84","165.11","44.43M","-0.32%"
"04/03/2023","166.17","164.27","166.29","164.22","54.97M","0.77%"
"03/31/2023","164.90","162.44","165.00","161.91","68.75M","1.56%"
"03/30/2023","162.36","161.53","162.47","161.27","46.81M","0.99%"
"03/29/2023","160.77","159.37","161.05","159.35","51.31M","1.98%"
"03/28/2023","157.65","157.97","158.49","155.98","45.58M","-0.40%"
"03/27/2023","158.28","159.94","160.77","157.87","50.42M","-1.23%"
"03/24/2023","160.25","158.86","160.34","157.85","59.26M","0.83%"
"03/23/2023","158.93","158.83","161.55","157.68","67.22M","0.70%"
"03/22/2023","157.83","159.30","162.14","157.81","69.17M","-0.91%"
"03/21/2023","159.28","157.32","159.40","156.54","73.76M","1.19%"
"03/20/2023","157.40","155.07","157.82","154.15","73.47M","1.55%"
"03/17/2023","155.00","156.08","156.74","154.28","98.94M","-0.55%"
"03/16/2023","155.85","152.16","156.46","151.64","76.02M","1.87%"
"03/15/2023","152.99","151.19","153.24","149.92","75.96M","0.26%"
"03/14/2023","152.59","151.28","153.40","150.10","73.37M","1.41%"
"03/13/2023","150.47","147.80","153.14","147.70","84.46M","1.33%"
"03/10/2023","148.50","150.21","150.94","147.61","68.57M","-1.39%"
"03/09/2023","150.59","153.56","154.54","150.23","53.45M","-1.49%"
"03/08/2023","152.87","152.81","153.47","151.83","47.20M","0.84%"
