"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2023","119.70","120.17","121.08","119.69","29.53M","0.50%"
"06/29/2023","119.10","119.24","120.06","118.29","24.04M","-0.90%"
"06/28/2023","120.18","117.09","120.39","116.85","27.05M","1.56%"
"06/27/2023","118.33","117.08","119.08","116.10","39.37M","-0.01%"
"06/26/2023","118.34","120.76","122.00","118.26","33.68M","-3.27%"
"06/23/2023","122.34","121.38","122.79","121.06","34.91M","-0.66%"
"06/22/2023","123.15","120.00","123.24","118.83","26.82M","2.16%"
"06/21/2023","120.55","122.40","122.66","120.10","30.07M","-2.07%"
"06/20/2023","123.10","122.93","124.57","122.14","25.37M","-0.35%"
"06/16/2023","123.53","125.93","126.11","123.28","45.54M","-1.25%"
"06/15/2023","125.09","123.14","125.46","122.40","35.17M","1.15%"
"06/14/2023","123.67","123.10","124.05","121.45","30.34M","-0.13%"
"06/13/2023","123.83","124.98","125.16","123.18","21.89M","0.15%"
"06/12/2023","123.64","122.79","124.05","121.66","27.42M","1.15%"
"06/09/2023","122.23","122.25","123.75","121.91","23.78M","0.07%"
"06/08/2023","122.14","122.22","123.22","121.24","29.39M","-0.29%"
"06/07/2023","122.50","126.97","129.04","122.12","52.54M","-3.78%"
"06/06/2023","127.31","126.01","128.29","125.36","25.97M","1.03%"
"06/05/2023","126.01","124.01","127.43","123.84","30.68M","1.07%"
"06/02/2023","124.67","123.99","126.15","123.76","26.98M","0.77%"
"06/01/2023","123.72","122.82","124.42","122.62","30.53M","0.69%"
"05/31/2023","122.87","122.75","124.06","122.50","37.24M","-0.65%"
"05/30/2023","123.67","125.64","125.66","122.00","35.00M","-0.75%"
"05/26/2023","124.61","123.17","125.26","122.45","35.64M","0.92%"
"05/25/2023","123.48","124.52","125.32","121.96","40.79M","2.13%"
"05/24/2023","120.90","121.12","121.91","119.86","33.16M","-1.35%"
"05/23/2023","122.56","124.16","124.63","122.21","33.85M","-1.99%"
"05/22/2023","125.05","122.94","126.43","122.74","34.99M","1.87%"
"05/19/2023","122.76","123.55","125.97","122.15","41.01M","-0.06%"
"05/18/2023","122.83","120.95","123.31","120.83","34.40M","1.65%"
"05/17/2023","120.84","119.61","121.67","118.89","33.32M","1.11%"
"05/16/2023","119.51","116.49","120.75","116.43","45.04M","2.57%"
"05/15/2023","116.51","116.11","118.48","116.01","36.13M","-0.85%"
"05/12/2023","117.51","116.68","118.03","116.11","41.10M","0.81%"
"05/11/2023","116.57","115.39","117.92","114.41","78.90M","4.31%"
"05/10/2023","111.75","107.97","112.94","107.93","63.15M","4.10%"
"05/09/2023","107.35","108.39","110.15","107.19","36.36M","-0.39%"
"05/08/2023","107.77","105.18","107.96","105.16","26.51M","2.08%"
"05/05/2023","105.57","104.82","105.88","104.11","26.64M","0.84%"
"05/04/2023","104.69","105.49","105.60","103.97","23.32M","-0.68%"
"05/03/2023","105.41","105.53","107.49","104.96","21.53M","0.09%"
"05/02/2023","105.32","107.14","107.20","103.71","31.00M","-1.75%"
"05/01/2023","107.20","106.84","107.99","106.82","25.61M","-0.13%"
"04/28/2023","107.34","107.04","107.35","105.09","36.14M","-0.23%"
"04/27/2023","107.59","104.45","108.37","103.54","49.77M","3.74%"
"04/26/2023","103.71","104.92","106.35","102.63","53.14M","-0.13%"
"04/25/2023","103.85","105.82","106.69","103.84","42.17M","-2.00%"
"04/24/2023","105.97","105.49","106.63","104.70","23.32M","0.53%"
"04/21/2023","105.41","105.47","106.00","104.78","25.80M","0.11%"
"04/20/2023","105.29","103.91","106.25","103.87","27.82M","1.07%"
"04/19/2023","104.18","103.58","104.98","103.07","20.85M","-0.31%"
"04/18/2023","104.50","106.49","106.54","104.07","26.48M","-1.39%"
"04/17/2023","105.97","104.66","106.16","104.52","37.57M","-2.66%"
"04/14/2023","108.87","106.89","108.94","106.84","26.58M","1.34%"
"04/13/2023","107.43","105.84","107.49","105.84","24.78M","2.67%"
"04/12/2023","104.64","106.58","106.75","104.34","24.37M","-0.67%"
"04/11/2023","105.35","106.55","106.73","104.68","26.23M","-1.02%"
"04/10/2023","106.44","106.98","107.59","105.12","27.02M","-1.83%"
"04/06/2023","108.42","105.26","109.17","104.33","48.71M","3.78%"
"04/05/2023","104.47","105.78","106.10","103.66","27.66M","-0.24%"
"04/04/2023","104.72","104.33","105.58","104.04","24.27M","0.34%"
"04/03/2023","104.36","102.39","104.53","101.93","24.55M","0.61%"
"03/31/2023","103.73","101.30","103.89","101.04","36.86M","2.81%"
"03/30/2023","100.89","100.91","101.15","99.78","32.79M","-0.49%"
"03/29/2023","101.39","102.28","102.49","100.65","28.78M","0.36%"
"03/28/2023","101.03","102.44","102.45","99.74","31.93M","-1.40%"
"03/27/2023","102.46","104.61","104.76","101.93","31.05M","-2.83%"
"03/24/2023","105.44","104.99","105.49","103.84","30.41M","-0.15%"
"03/23/2023","105.60","105.06","106.30","104.46","40.57M","2.16%"
"03/22/2023","103.37","104.27","106.59","103.33","43.20M","-1.48%"
"03/21/2023","104.92","101.25","105.10","101.22","41.87M","3.66%"
"03/20/2023","101.22","100.12","101.75","99.87","32.89M","-0.39%"
"03/17/2023","101.62","100.26","102.83","100.10","61.03M","1.30%"
"03/16/2023","100.32","96.20","101.19","95.50","65.27M","4.38%"
"03/15/2023","96.11","93.22","96.93","92.64","50.19M","2.28%"
"03/14/2023","93.97","92.56","94.36","92.44","35.49M","3.14%"
"03/13/2023","91.11","90.09","92.57","89.42","37.34M","0.53%"
"03/10/2023","90.63","92.17","92.79","90.39","35.94M","-1.83%"
"03/09/2023","92.32","94.05","95.53","91.90","28.46M","-2.05%"
"03/08/2023","94.25","94.12","95.96","94.00","34.10M","0.42%"
"03/07/2023","93.86","94.98","95.67","93.53","27.84M","-1.34%"
"03/06/2023","95.13","94.01","95.97","94.00","32.64M","1.58%"
"03/03/2023","93.65","92.48","93.73","92.45","35.08M","1.79%"
"03/02/2023","92.00","89.66","92.28","89.59","32.02M","1.81%"
"03/01/2023","90.36","89.98","91.03","89.67","30.92M","0.33%"
"02/28/2023","90.06","89.33","91.23","89.32","30.14M","0.21%"
"02/27/2023","89.87","89.87","90.16","89.33","27.50M","0.83%"
"02/24/2023","89.13","89.44","89.89","88.57","36.59M","-1.94%"
"02/23/2023","90.89","91.92","91.94","89.76","41.21M","-0.83%"
"02/22/2023","91.65","91.70","92.11","90.61","30.88M","-0.15%"
"02/21/2023","91.79","93.00","93.10","91.72","33.63M","-2.71%"
"02/17/2023","94.35","94.85","95.56","93.21","34.28M","-1.21%"
"02/16/2023","95.51","95.37","97.68","94.74","39.90M","-1.48%"
"02/15/2023","96.94","94.49","97.12","94.15","50.05M","2.39%"
"02/14/2023","94.68","94.43","94.85","92.26","54.73M","0.07%"
"02/13/2023","94.61","94.74","95.20","93.84","49.88M","0.04%"
"02/10/2023","94.57","95.45","96.75","94.25","54.98M","-0.46%"
"02/09/2023","95.01","100.00","100.03","93.63","118.94M","-4.39%"
"02/08/2023","99.37","102.05","103.14","98.04","94.42M","-7.68%"
"02/07/2023","107.64","103.22","108.18","103.12","48.13M","4.61%"
"02/06/2023","102.90","102.40","104.36","101.88","31.63M","-1.79%"
"02/03/2023","104.78","102.93","107.81","102.58","65.31M","-2.75%"
"02/02/2023","107.74","105.80","107.85","105.61","66.96M","7.28%"
"02/01/2023","100.43","98.71","101.19","97.58","33.58M","1.61%"
"01/31/2023","98.84","96.87","98.88","96.82","29.87M","1.96%"
"01/30/2023","96.94","97.48","98.29","96.39","26.98M","-2.45%"
"01/27/2023","99.37","97.31","100.32","97.31","33.88M","1.90%"
"01/26/2023","97.52","96.50","97.57","95.38","30.04M","2.42%"
"01/25/2023","95.22","95.57","96.16","93.76","42.20M","-2.54%"
"01/24/2023","97.70","98.10","99.61","97.20","32.70M","-2.09%"
"01/23/2023","99.79","97.95","100.04","97.50","39.91M","1.81%"
"01/20/2023","98.02","95.10","98.30","95.02","63.19M","5.34%"
"01/19/2023","93.05","90.72","93.61","90.63","36.90M","2.12%"
"01/18/2023","91.12","92.14","92.80","90.64","29.12M","-0.19%"
"01/17/2023","91.29","92.06","92.25","90.05","32.53M","-0.90%"
"01/13/2023","92.12","90.85","92.19","90.13","26.33M","1.09%"
"01/12/2023","91.13","91.48","91.87","89.75","30.13M","-0.43%"
"01/11/2023","91.52","89.18","91.60","89.01","26.74M","3.51%"
"01/10/2023","88.42","85.98","88.67","85.83","30.39M","0.45%"
"01/09/2023","88.02","88.36","90.05","87.86","28.91M","0.78%"
"01/06/2023","87.34","86.79","87.69","84.86","41.38M","1.32%"
"01/05/2023","86.20","87.47","87.57","85.90","26.94M","-2.13%"
"01/04/2023","88.08","90.35","90.65","87.27","33.84M","-1.17%"
"01/03/2023","89.12","89.58","91.05","88.52","28.08M","1.01%"
