"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2023","133.81","134.69","135.03","133.43","4.24M","-0.19%"
"06/29/2023","134.06","131.75","134.35","131.69","3.63M","1.75%"
"06/28/2023","131.76","132.06","132.17","130.91","2.75M","-0.44%"
"06/27/2023","132.34","131.30","132.95","130.83","3.22M","0.76%"
"06/26/2023","131.34","129.39","131.41","129.31","4.84M","1.48%"
"06/23/2023","129.43","130.40","130.62","129.18","11.32M","-1.33%"
"06/22/2023","131.17","131.68","132.96","130.68","5.99M","-1.88%"
"06/21/2023","133.69","135.11","135.39","133.29","5.46M","-1.67%"
"06/20/2023","135.96","136.36","137.23","135.89","4.23M","-1.11%"
"06/16/2023","137.48","139.23","139.47","137.47","7.47M","-0.66%"
"06/15/2023","138.40","137.27","138.80","137.18","3.81M","0.87%"
"06/14/2023","137.20","137.80","138.93","136.94","4.51M","-0.29%"
"06/13/2023","137.60","136.51","138.17","136.00","3.93M","0.86%"
"06/12/2023","136.42","136.00","136.62","135.82","4.48M","0.83%"
"06/09/2023","135.30","134.36","136.10","134.17","3.98M","0.66%"
"06/08/2023","134.41","134.69","135.98","134.01","4.10M","0.02%"
"06/07/2023","134.38","132.50","134.44","132.19","5.77M","1.27%"
"06/06/2023","132.69","132.43","132.94","131.88","3.27M","0.04%"
"06/05/2023","132.64","133.12","133.58","132.27","3.98M","0.17%"
"06/02/2023","132.42","130.38","133.12","130.15","5.36M","2.00%"
"06/01/2023","129.82","128.44","130.15","127.78","4.13M","0.96%"
"05/31/2023","128.59","128.51","129.44","127.46","11.09M","-0.69%"
"05/30/2023","129.48","129.56","130.07","128.26","3.70M","0.46%"
"05/26/2023","128.89","127.06","129.66","126.81","5.61M","1.68%"
"05/25/2023","126.76","125.61","127.23","125.01","4.10M","0.86%"
"05/24/2023","125.68","127.82","127.90","125.47","3.89M","-1.95%"
"05/23/2023","128.18","127.24","129.09","127.13","4.59M","0.53%"
"05/22/2023","127.50","127.50","128.19","127.15","2.79M","0.19%"
"05/19/2023","127.26","126.79","128.29","126.55","4.31M","0.88%"
"05/18/2023","126.15","125.30","126.51","125.19","3.79M","0.35%"
"05/17/2023","125.71","123.94","125.85","123.47","4.52M","1.82%"
"05/16/2023","123.46","123.35","123.86","122.45","2.75M","0.08%"
"05/15/2023","123.36","123.00","123.69","122.34","2.92M","0.42%"
"05/12/2023","122.84","121.41","122.86","121.11","4.56M","1.60%"
"05/11/2023","120.90","122.02","122.24","120.55","3.45M","-0.92%"
"05/10/2023","122.02","121.99","122.49","121.10","4.19M","0.70%"
"05/09/2023","121.17","121.90","121.97","120.66","4.54M","-1.81%"
"05/08/2023","123.40","123.76","123.92","122.55","3.66M","-0.20%"
"05/05/2023","123.65","123.11","124.10","122.81","4.97M","0.88%"
"05/04/2023","122.57","123.03","123.52","121.76","4.47M","-0.71%"
"05/03/2023","123.45","125.46","125.57","123.26","4.55M","-1.37%"
"05/02/2023","125.16","126.30","126.45","123.27","4.45M","-0.74%"
"05/01/2023","126.09","126.35","126.75","126.06","2.72M","-0.25%"
"04/28/2023","126.41","126.58","127.25","125.64","5.06M","-0.44%"
"04/27/2023","126.97","126.37","127.02","125.46","3.20M","0.89%"
"04/26/2023","125.85","125.81","126.54","125.12","4.07M","-0.03%"
"04/25/2023","125.89","124.90","126.19","124.76","4.28M","0.39%"
"04/24/2023","125.40","125.55","126.05","124.56","4.04M","-0.26%"
"04/21/2023","125.73","126.00","126.70","125.27","6.73M","-0.50%"
"04/20/2023","126.36","130.15","130.98","125.84","9.75M","0.03%"
"04/19/2023","126.32","126.50","126.98","125.30","7.01M","-1.14%"
"04/18/2023","127.78","128.14","128.68","127.35","3.19M","-0.03%"
"04/17/2023","127.82","128.30","128.72","126.80","3.66M","-0.25%"
"04/14/2023","128.14","128.46","129.84","127.31","4.18M","0.19%"
"04/13/2023","127.90","128.01","128.39","126.00","5.62M","-0.50%"
"04/12/2023","128.54","130.40","130.89","128.17","3.96M","-1.44%"
"04/11/2023","130.42","130.58","131.10","130.18","3.13M","-0.47%"
"04/10/2023","131.03","129.83","131.08","129.24","2.61M","0.41%"
"04/06/2023","130.50","132.16","132.60","130.32","3.05M","-1.24%"
"04/05/2023","132.14","131.37","132.61","131.37","2.90M","0.41%"
"04/04/2023","131.60","131.99","132.15","130.89","3.38M","-0.35%"
"04/03/2023","132.06","130.97","132.61","130.77","3.84M","0.74%"
"03/31/2023","131.09","129.47","131.23","129.42","4.52M","1.45%"
"03/30/2023","129.22","130.16","131.48","129.10","3.56M","-0.38%"
"03/29/2023","129.71","130.12","130.35","129.18","3.28M","0.29%"
"03/28/2023","129.34","129.18","129.66","128.80","2.89M","0.02%"
"03/27/2023","129.31","126.47","130.26","126.47","6.52M","3.21%"
"03/24/2023","125.29","123.36","125.40","122.88","3.81M","1.56%"
"03/23/2023","123.37","123.81","124.93","122.60","4.65M","-0.55%"
"03/22/2023","124.05","127.00","127.21","124.01","3.55M","-1.99%"
"03/21/2023","126.57","126.90","127.15","125.66","3.86M","0.50%"
"03/20/2023","125.94","124.31","126.16","124.19","4.59M","1.82%"
"03/17/2023","123.69","124.08","124.52","122.93","37.40M","-0.81%"
"03/16/2023","124.70","122.96","124.82","121.92","6.44M","1.15%"
"03/15/2023","123.28","122.99","123.35","121.71","5.99M","-1.10%"
"03/14/2023","124.65","126.49","126.64","123.20","8.11M","-0.74%"
"03/13/2023","125.58","125.15","128.19","124.85","8.19M","0.10%"
"03/10/2023","125.45","126.12","127.29","125.13","5.99M","-0.56%"
"03/09/2023","126.16","128.30","128.53","125.98","5.48M","-1.48%"
"03/08/2023","128.05","128.48","128.74","127.54","2.78M","-0.16%"
"03/07/2023","128.25","130.28","130.42","128.19","3.53M","-1.49%"
"03/06/2023","130.19","129.64","130.86","129.59","2.98M","0.42%"
"03/03/2023","129.64","129.35","129.90","128.77","2.86M","0.55%"
"03/02/2023","128.93","128.39","129.22","127.71","3.34M","0.58%"
"03/01/2023","128.19","128.90","129.47","127.74","3.76M","-0.86%"
"02/28/2023","129.30","130.55","130.61","129.14","5.14M","-0.91%"
"02/27/2023","130.49","131.42","131.87","130.13","2.76M","-0.06%"
"02/24/2023","130.57","129.62","130.67","129.22","3.02M","-0.17%"
"02/23/2023","130.79","131.50","131.70","128.86","3.73M","-0.14%"
"02/22/2023","130.97","131.90","131.99","130.29","3.20M","-0.56%"
"02/21/2023","131.71","134.00","134.38","131.66","4.26M","-2.45%"
"02/17/2023","135.02","134.50","135.58","133.89","3.47M","0.01%"
"02/16/2023","135.00","135.57","135.97","134.59","2.97M","-1.03%"
"02/15/2023","136.40","135.20","136.45","135.07","2.51M","0.29%"
"02/14/2023","136.01","137.05","137.24","135.05","3.20M","-0.98%"
"02/13/2023","137.35","136.00","137.39","135.85","4.40M","1.29%"
"02/10/2023","135.60","133.78","135.77","133.50","5.05M","1.38%"
"02/09/2023","133.75","134.99","135.73","133.34","3.92M","-1.64%"
"02/08/2023","135.98","135.71","136.74","135.16","4.59M","0.10%"
"02/07/2023","135.84","135.67","136.40","134.45","3.74M","-0.25%"
"02/06/2023","136.18","135.83","136.32","134.95","4.84M","-0.55%"
"02/03/2023","136.94","136.35","136.95","135.53","3.76M","0.40%"
"02/02/2023","136.39","135.96","136.72","134.85","6.11M","0.96%"
